,x,y,z
152,-6.158563,23.732061,-4.861595
153,-5.556525,30.017807,-4.798254
154,-5.10405,38.18853,-3.582847
155,-5.7233324,40.740112,-3.5030673
156,-4.4541173,45.4439,-4.377564
157,-3.9856517,44.562004,-4.0160127
158,-4.9781475,39.057438,-5.2266927
159,-5.144131,37.228676,-6.0036936
160,-4.957679,33.08298,-5.2252045
161,-4.7939205,30.226112,-4.3468723
162,-4.524073,29.235537,-4.491832
163,-3.531231,27.508476,-4.7287335
164,-3.0006223,27.74339,-5.4407597
165,-2.9224017,30.855228,-5.1385374
166,-5.209771,32.194298,-6.038756
167,-6.138469,38.81895,-6.3916335
168,-5.517788,39.87476,-6.6236806
169,-5.178975,44.06134,-6.571563
170,-5.9642243,45.899044,-7.8934646
171,-4.8327622,45.2444,-7.1801724
172,-5.7796865,37.31178,-6.262346
173,-7.175099,28.802248,-6.428943
174,-7.2386475,24.108349,-6.6963964
175,-7.0730023,19.147118,-4.8867087
176,-7.1497684,15.999059,-4.658657
177,-6.8267417,13.40078,-4.506957
178,-7.2814775,11.092051,-4.3288355
179,-6.381817,8.985952,-4.8247056
180,-6.193782,5.4903917,-5.3077602
181,-5.566991,4.4116936,-4.9182377
182,-5.495417,3.5032036,-4.6813297
183,-5.701421,2.9682243,-4.4729524
184,-5.4244995,2.2605724,-4.4019213
185,-5.9691687,2.4643416,-4.3241534
186,-6.5123506,2.4845138,-3.804144
187,-6.2484097,2.29748,-3.4776156
188,-6.6043477,2.3182957,-3.7214186
189,-6.4712286,2.3909729,-3.7506702
190,-6.934376,2.052757,-3.8025143
191,-7.1033726,2.495537,-3.908371
192,-6.4967556,2.4416187,-3.2538917
193,-6.51348,2.5082986,-3.2667096
194,-7.230625,2.3194592,-2.8024662
195,-7.115697,2.0813808,-3.2468457
196,-7.0100574,2.6408513,-3.4998038
197,-6.5211473,2.197753,-3.7446802
198,-6.6607456,2.3520906,-3.5743468
199,-6.5802593,2.6050153,-3.4836838
200,-6.578346,2.6587696,-3.5619967
201,-6.5075283,3.226205,-3.5830376
202,-6.3184075,3.3076422,-3.5258303
203,-6.744773,3.1783555,-3.2032747
204,-6.658139,3.3049514,-3.0492423
205,-6.6376734,3.2058804,-3.0203516
206,-6.8561926,3.0782413,-2.7938752
207,-6.736646,3.504501,-3.0469303
208,-6.667625,3.395162,-2.8918407
209,-6.5888076,3.4471083,-2.8198695
210,-6.607038,3.5556087,-3.217278
211,-6.7821784,3.5194721,-2.9269643
212,-6.8268323,3.635333,-2.8332324
213,-6.8635225,4.0220137,-2.9793782
214,-6.6761737,4.1149383,-2.984571
215,-6.437566,4.087701,-3.0460052
216,-6.331436,4.0100436,-3.7596297
217,-6.5353513,4.1203737,-3.4897563
218,-6.3889036,7.265324,-3.844472
219,-6.340816,12.304496,-3.2643063
220,-6.849755,16.617115,-3.0459154
221,-6.2132907,28.823202,-3.7285373
222,-6.3039246,31.126211,-3.8486948
223,-5.778624,36.825424,-3.6191015
224,-3.7709482,42.970673,-3.6992564
225,-3.608066,45.75172,-3.4631333
226,-4.0964,44.861317,-4.2468348
227,-5.075486,40.06077,-5.007011
228,-5.696971,30.9105,-6.1789217
229,-4.5327277,29.216688,-5.505321
230,-4.575507,25.635126,-5.4035707
231,-4.3713408,23.837374,-6.142987
232,-3.953779,24.639763,-6.012973
233,-3.7014065,30.362253,-5.624156
234,-5.3152437,32.68583,-6.32692
235,-4.6419425,37.785007,-6.300861
236,-4.65118,41.541122,-5.8274326
237,-5.1850777,45.74068,-6.2293954
238,-4.8006115,41.86602,-4.4544244
239,-5.558595,36.834248,-3.9691017
240,-6.035777,32.335316,-4.471275
241,-6.1323805,28.09562,-3.7544591
242,-6.5557,24.578405,-4.038861
243,-6.509463,20.387182,-3.4256043
244,-6.7498126,15.235872,-2.7221527
245,-7.0903554,13.018395,-2.5619874
246,-6.7720523,10.596009,-2.8951268
247,-6.614314,7.820215,-2.8532658
248,-5.5835924,5.1842318,-2.423902
249,-4.714142,3.362638,-2.6946907
250,-4.3785977,-0.34534281,-2.2728627
251,-5.0934753,-1.945683,-1.8017699
252,-4.704551,-2.8108878,-2.2402904
253,-4.187676,-4.056157,-1.9975386
254,-4.518015,-3.7436657,-1.8984653
255,-4.408432,-3.250288,-1.6695911
256,-4.44147,-2.7037258,-1.5761006
257,-4.438145,-1.9175009,-1.6945937
258,-4.4323525,-1.8660387,-1.7822795
259,-4.596695,-2.0218523,-2.0203018
260,-4.129385,-0.9335142,-2.1745949
261,-4.3942327,-0.89724755,-2.2852526
262,-4.324919,-1.063514,-2.1740649
263,-4.312012,-0.8105277,-2.1821008
264,-4.0870833,-0.43686002,-2.24715
265,-5.013689,-0.36070627,-1.9679437
266,-5.006606,-0.009219702,-1.605476
267,-4.766902,-0.07956583,-1.8204083
268,-4.564055,-0.017426243,-2.0353785
269,-4.3066225,-0.3468861,-2.0413027
270,-4.2032094,-0.28330508,-1.9517596
271,-4.282925,0.061020542,-1.9363075
272,-4.0894065,0.33511543,-1.8465464
273,-4.4187064,0.12924995,-1.8197984
274,-4.5138755,0.18350524,-1.6527877
275,-4.8423,0.71878743,-1.5188587
276,-4.6839204,3.0811157,-1.6742387
277,-5.2144213,5.622048,-1.7845658
278,-6.035495,8.711236,-2.2475615
279,-6.6309094,13.601394,-1.9268776
280,-5.5500164,18.2956,-2.2757738
281,-5.0277095,23.164154,-2.4982896
282,-5.710945,32.82351,-3.1332383
283,-4.220318,37.96879,-2.490919
284,-4.837107,43.159344,-4.5010657
285,-4.121079,46.580326,-5.250167
286,-3.6541142,45.567486,-5.546918
287,-4.1174955,43.615597,-6.6435885
288,-6.9427176,35.64115,-7.113709
289,-5.86563,31.07787,-5.3838167
290,-5.0537114,28.048721,-6.04602
