,x,y,z
0,-13.174993,-19.104681,6.066593
1,-12.386244,-14.366645,5.533473
2,-11.788277,-14.130107,5.485047
3,-11.7251,-10.796832,5.8888097
4,-11.714163,-8.293633,4.9111843
5,-12.033528,-4.516197,2.9372635
6,-11.0023775,-2.064353,2.2210019
7,-10.754049,-0.768692,1.6903775
8,-10.786635,0.21670029,1.0305617
9,-10.236243,0.4220461,0.5582014
10,-9.707167,0.70348144,-0.16120547
11,-8.142622,1.0351864,-1.3824099
12,-8.485482,1.6657804,-1.050785
13,-8.020404,1.6321455,-1.4950536
14,-7.441556,1.9958211,-1.5395079
15,-6.878892,1.6501644,-1.470904
16,-6.8622336,1.5946453,-1.3136209
17,-6.329921,1.2518317,-1.5114739
18,-6.8124995,1.2920558,-0.55579257
19,-7.045026,1.2756512,-0.29185906
20,-5.9286804,1.2810013,-0.38371262
21,-5.9862714,1.2411175,-0.46183676
22,-5.42503,0.74903,-0.14459756
23,-6.0520287,0.91701484,-0.14500067
24,-6.3138247,-0.29121697,-0.94650847
25,-5.6809034,-0.7701337,-1.3358104
26,-5.5502496,-1.0054657,-2.0015574
27,-4.5858707,-1.5443779,-2.5685356
28,-4.140553,-1.4723167,-2.544224
29,-4.0672593,-1.9121025,-2.8364336
30,-4.165449,-2.1834323,-2.9064572
31,-3.8321173,-2.2028556,-3.1937053
32,-3.0230746,-2.0560522,-2.9630303
33,-2.3989305,-1.9915222,-3.532555
34,-0.47352448,-1.7378942,-4.094972
35,-0.6268499,-1.7450551,-4.0163965
36,-0.7902717,-2.0010955,-3.7393665
37,0.013655712,-2.7724726,-5.0004644
38,0.7152144,-3.131061,-6.9233623
39,1.076934,-2.9733973,-8.50894
40,0.79505897,-2.0905576,-9.382782
41,0.6155067,-2.1187742,-10.206376
42,0.8693821,-1.9188612,-10.187973
43,0.5213709,-1.4862187,-9.697874
44,0.9493416,-1.9873343,-9.766649
45,1.045372,-1.6536341,-9.41472
46,1.3588544,-1.5172871,-8.700619
47,0.39198193,-1.2710638,-8.685811
48,1.2259722,-0.7697329,-8.661345
49,0.6669723,-1.0977138,-8.056028
50,1.3161417,-1.0976503,-7.7170215
