,x,y,z
0,-14.170124,4.9645844,-6.881915
1,-13.620934,4.865174,-6.7882147
2,-13.700633,4.8097897,-6.885901
3,-14.276661,4.4472084,-6.2326655
4,-13.447125,3.818754,-6.126137
5,-13.425919,5.0424304,-6.495269
6,-14.767705,6.4119635,-6.3428426
7,-12.1593075,6.653701,-5.0209694
8,-9.773851,6.6286473,-4.364622
9,-8.205463,9.12537,-3.337262
10,-7.344904,6.3240876,-4.8682346
11,-7.258481,5.453364,-3.21825
12,-7.688696,5.1264844,-3.9999604
13,-5.999409,3.8766694,-4.2672453
14,-2.7151744,2.4349167,-3.0959218
15,-1.6518663,2.7793725,-2.0551555
16,-1.4674628,3.5732214,-2.3807027
17,-5.99634,2.95482,-2.2116058
18,-11.9998455,3.1369681,-4.51418
19,-13.239505,3.3672094,-4.079349
20,-15.293466,4.6131735,-4.7499604
21,-11.952262,3.1993449,-4.1623864
22,-13.446994,-0.31089076,-3.1452513
23,-14.205783,-1.2197467,-2.9550037
24,-12.521535,-0.84305495,-2.8815036
25,-12.34963,-0.86392856,-2.8885252
26,-12.223989,-1.196772,-3.194271
27,-11.079284,-1.7310236,-3.2336032
28,-10.840683,-1.4598691,-3.0787916
29,-10.192803,-2.1950967,-2.9725873
30,-9.157162,-2.2860086,-2.8864744
31,-8.969265,-2.4928503,-2.8478596
32,-9.69137,-1.9623547,-3.0735755
33,-9.674169,-2.251022,-2.7550821
34,-9.803863,-2.337133,-2.6051478
35,-9.905508,-2.3263478,-2.7712095
36,-10.506101,-2.2543848,-2.5075536
37,-10.656206,-2.0465727,-2.1858985
38,-10.832099,-2.002945,-2.322424
39,-9.936371,-1.8836887,-2.3099058
40,-10.161558,-2.1540785,-2.1784189
41,-9.229421,-1.5209498,-2.286316
42,-8.414711,-1.5402122,-2.2954636
43,-8.78734,-1.2692049,-2.0570526
44,-8.710422,-1.8382574,-2.3159122
45,-9.208632,-1.5518503,-2.2670596
46,-10.112168,-1.6334051,-2.355507
47,-10.1713915,-1.8159299,-2.3356051
48,-10.865386,-1.7505298,-2.0995822
49,-10.978694,-1.8739365,-2.2224898
50,-10.792478,-1.7385677,-2.4386244
51,-11.124614,-1.660711,-2.222095
52,-10.949797,-1.3973941,-2.2238543
53,-9.980274,-1.4640857,-1.9798768
54,-10.454929,-1.1267498,-2.0281377
55,-11.074313,-1.4504137,-1.7162623
56,-10.73296,-1.23537,-1.570202
57,-10.703037,-1.2650274,-1.9347885
58,-10.312315,-1.7041388,-2.2319272
59,-10.60799,-1.1787403,-2.2883284
60,-10.463216,-0.36237046,-2.4770193
61,-10.062678,-0.65990835,-2.7362912
62,-10.071591,-1.0293216,-2.3100123
63,-9.725058,-0.2086436,-2.3063056
64,-9.588791,-0.16760376,-2.510047
65,-9.421744,-0.2573748,-2.5571742
66,-9.28187,-0.58479613,-2.546936
67,-8.931684,-0.45906538,-2.4594579
68,-8.391181,-0.31339243,-2.4542634
69,-9.197986,-0.5387313,-2.2102673
70,-9.007737,-0.6726606,-1.9716208
71,-8.877476,-0.5449856,-2.2479796
72,-9.275635,0.40836793,-2.3951619
73,-9.406424,0.22374406,-2.209356
74,-9.266731,0.5560391,-2.248507
75,-9.200071,0.5305219,-2.4848008
76,-9.480857,0.39279336,-2.7822359
77,-9.480445,0.5089612,-2.647624
78,-10.5028715,1.1520405,-3.1987076
79,-10.072141,0.77940947,-3.0063548
80,-9.645303,0.47178587,-3.1424768
81,-9.294399,0.35623875,-3.131036
82,-9.367038,0.1017992,-3.0867496
83,-8.980662,0.3403762,-3.104997
84,-9.5739155,0.10137037,-3.2640262
85,-9.170826,-0.04079706,-3.1919634
86,-9.072698,-0.24878208,-3.0605311
87,-8.803647,-0.14946054,-3.0124424
88,-8.827429,-0.05022689,-3.0188293
89,-9.622322,-0.021813845,-2.8811421
90,-9.565369,-0.061909523,-2.7082138
91,-9.547846,0.0951111,-2.498386
92,-9.528667,-0.068761334,-2.8133185
93,-9.1445675,-0.22729477,-2.4853182
94,-8.787609,-0.37772566,-2.7550502
95,-8.885325,-0.33883744,-2.6884303
96,-9.151502,0.5936474,-2.9399078
97,-9.293306,0.18849073,-2.8855085
98,-8.969406,0.07725627,-2.6222315
99,-9.146684,0.5847288,-2.754656
100,-8.80189,0.13633348,-2.8672311
101,-8.756607,-0.23138808,-2.8875158
102,-9.101284,0.122184604,-2.811017
103,-9.026056,0.023650995,-2.5955942
104,-8.963243,-0.19792536,-2.734454
105,-8.7937155,-0.33471644,-2.541558
106,-8.991119,0.013174377,-2.4440444
107,-8.98514,0.16828343,-2.5177233
108,-8.910928,0.28616405,-2.3346825
109,-9.230614,0.24680802,-2.2450984
110,-9.080507,0.11207942,-2.0977852
111,-8.993388,-0.4375336,-1.8794653
112,-9.455051,-0.46129772,-1.8208443
113,-9.66326,-0.3223457,-1.757417
114,-9.2408905,-0.3015935,-1.9103911
115,-9.700167,0.0023510372,-2.1739523
116,-9.653831,-0.15128562,-2.0992448
117,-9.145995,0.06852421,-2.394493
118,-9.33753,0.30648035,-2.2205312
119,-9.450954,0.17263646,-2.310407
120,-9.714373,0.7704578,-2.5349495
121,-10.3404255,0.75719374,-2.5429664
122,-11.087314,0.6049788,-2.5459976
123,-12.484296,0.28227475,-2.6078656
124,-13.897763,-0.13311148,-3.2505088
125,-14.69061,-0.3981467,-3.8886232
126,-17.5612,0.24966702,-3.7429078
127,-20.558723,0.60905814,-3.8933382
128,-22.895386,-0.12035923,-4.856899
129,-27.569376,-0.1941903,-5.482323
130,-31.747862,-0.35775563,-4.911407
131,-33.11663,-0.013856843,-3.912656
132,-32.556305,-1.9315486,-4.873021
133,-32.36549,-0.02646859,-4.3422394
134,-33.164867,-0.361245,-4.640821
135,-31.65988,0.5585827,-4.973516
136,-28.068691,-0.78083307,-6.1223416
137,-26.474857,0.90129775,-3.1772985
138,-20.25528,1.3927354,-3.3278034
139,-3.5953705,-0.47816637,-4.157675
140,1.731976,-1.0274353,-3.4964035
141,6.0308747,-1.1239898,-3.4268405
142,8.689507,-0.70059836,-2.7034795
143,11.55168,-0.69804627,-2.00162
144,14.530174,-0.9607136,-2.3631358
145,17.730112,-0.56255656,-2.6923249
146,19.514854,-0.56923723,-2.0001411
147,20.896215,-0.5983144,-2.0097358
148,21.496725,-0.82381594,-1.9632665
149,21.31358,-0.64560366,-1.9536499
150,19.463753,-0.58440554,-2.1261077
151,16.552843,-0.45670426,-1.7089506
152,10.459871,-0.6017008,-1.4181713
153,6.040881,-0.7177902,-1.7517878
154,1.089624,-0.47511086,-2.9007807
155,-9.885053,-0.9656322,-3.8608632
156,-14.484272,-1.5536095,-3.747925
157,-22.266296,-0.74187016,-3.032707
158,-30.519293,-0.24322233,-4.531303
159,-26.339552,0.6632324,-5.078629
160,-29.558014,2.0468118,-5.412494
161,-33.11169,0.8035618,-5.97681
162,-33.282867,2.6266053,-7.2346706
163,-31.81983,3.3174303,-6.634579
164,-29.417013,4.3344097,-6.3491926
165,-24.886583,1.8735592,-5.5629034
166,-24.2066,3.5257177,-4.5657287
167,-19.652327,3.5274441,-4.797312
168,-7.330484,3.9237523,-6.3149486
169,-2.263502,3.178231,-5.667124
170,2.2028494,2.7245333,-4.791423
171,9.223231,3.048459,-2.4606586
172,12.964941,3.3984942,-2.884208
173,14.968472,2.9182234,-3.1425745
174,15.896089,3.0424285,-3.2135808
175,16.670403,3.488543,-3.5766745
176,16.149424,3.2515326,-3.5862865
177,11.355405,3.3632572,-2.9867344
178,8.864725,2.7526047,-2.829457
179,4.6210876,2.2035177,-3.1018586
180,0.8399706,2.2969573,-4.5223517
181,-1.9001513,1.5909384,-4.8078475
182,-3.113255,1.7593371,-4.621947
183,-4.920443,1.31621,-4.258552
184,-6.058086,1.3417377,-4.36942
185,-6.4439526,1.2942692,-4.560099
186,-7.602889,1.5262116,-5.00099
187,-7.8594937,1.9753393,-5.5910316
188,-8.007829,2.2697084,-5.7374907
189,-8.056766,2.5420282,-6.1026096
190,-8.038904,2.4689393,-5.8235664
191,-7.8803434,2.5072865,-5.9315805
192,-8.011303,2.730261,-5.6882997
193,-7.678534,2.3902438,-5.1199164
194,-6.968729,2.207914,-4.8813124
195,-6.9433975,1.7296327,-4.941388
196,-7.1245275,1.5958385,-4.4447894
197,-6.6726894,1.2313961,-4.0425506
198,-6.195379,1.2480783,-4.006451
199,-6.303454,1.5084997,-3.7810717
200,-6.316328,0.8921608,-3.883145
201,-6.6970816,1.0680956,-3.8762155
202,-6.397928,0.80766815,-3.8844337
203,-6.8635826,0.7873241,-3.7128835
204,-7.454153,0.89165604,-3.2473922
205,-7.1776714,0.7115712,-3.1733303
206,-7.1670094,0.9118652,-3.3514235
207,-6.5771737,0.6005103,-3.2133422
208,-6.1954293,0.5396946,-3.2856102
209,-6.3543544,0.4645717,-3.3621392
210,-6.006131,0.72562176,-3.2719219
211,-6.136502,0.51920104,-3.065032
212,-5.785208,0.014817981,-2.9863238
213,-5.3736625,-0.37033603,-2.9299004
214,-5.20568,-0.5169317,-2.945919
215,-5.06417,-0.5875376,-3.1374214
216,-5.1507263,-0.8096644,-3.040348
217,-5.278221,-0.8524698,-3.256318
218,-4.302023,-0.8094012,-3.2472548
219,-4.1813984,-0.88702,-3.2362216
220,-4.233934,-0.8665168,-2.8770423
221,-4.054953,-1.1216908,-2.7335513
222,-3.817849,-0.9455992,-2.352349
223,-3.5350292,-0.7469066,-1.9322685
224,-3.6844592,-0.9341913,-1.6798493
225,-4.0260653,-1.1246151,-1.8486657
226,-3.3623466,-0.98396105,-2.008912
227,-3.6104088,-1.0245937,-1.983716
