,x,y,z
0,-7.208571,-2.9468129,-12.094489
1,-7.3836675,-2.9212818,-12.175439
2,-7.5228043,-2.86147,-12.245532
3,-7.389321,-2.7265213,-12.480303
4,-7.128158,-2.4679375,-12.344845
5,-7.673959,-3.0548828,-12.531765
6,-8.563883,-2.9972527,-12.082481
7,-8.691619,-3.1743793,-11.764357
8,-9.1662245,-2.9875572,-11.224905
9,-9.526955,-3.3216918,-11.300385
10,-9.179343,-3.1195295,-11.4745035
11,-9.172335,-3.5602484,-11.437933
12,-8.984181,-3.5082147,-11.628328
13,-8.974059,-3.2541692,-11.877197
14,-9.138303,-1.6723216,-11.108439
15,-8.239171,-1.0326164,-11.018838
16,-7.9009166,-0.6502798,-10.973544
17,-8.147369,-0.5105943,-10.736397
18,-8.951484,-1.1191633,-10.407586
19,-8.392052,-0.5898236,-10.191059
20,-7.9573073,-0.8857435,-10.216477
21,-6.683228,-1.1655715,-10.399864
22,-6.5843596,-0.81055295,-9.962503
23,-6.194648,-0.7073414,-9.094663
24,-5.092815,-1.5294157,-8.910259
25,-4.824077,-1.0531337,-8.505561
26,-4.5508213,-0.88909626,-8.027919
27,-3.8508399,-1.0344772,-7.564255
28,-3.432412,-1.0828532,-7.1323285
29,-2.800939,-1.7773255,-6.030037
30,-2.540246,-1.8690217,-5.4847574
31,-2.5012975,-1.6264788,-4.917202
32,-2.379612,-1.9873734,-4.544323
33,-2.0198922,-3.0063522,-3.828759
34,-2.200461,-2.1163807,-2.9140184
35,-1.6010282,-2.4948473,-3.0531468
36,-1.4318821,-2.0790918,-2.2504833
37,-1.2367097,-1.8169143,-1.8802685
38,-1.1122576,-1.9514742,-1.4997456
39,-1.8182106,-1.6067274,-1.1664796
40,-1.8103921,-1.6407416,-1.0348864
41,-2.0733023,-1.8449092,-0.45963335
42,-2.1702068,-1.2464238,-0.10003312
43,-2.5379753,-1.3715552,0.27335426
44,-3.246328,-1.5763147,0.74095196
45,-3.9457834,-2.261961,1.3674233
46,-4.3300924,-3.0955203,1.513423
47,-4.650593,-3.594094,1.86199
48,-5.005093,-3.8808506,1.2068449
49,-5.1017237,-4.2910852,0.97585124
50,-5.6017604,-4.737025,0.62614363
51,-5.136242,-4.4639034,0.4179691
52,-5.434468,-4.7534437,0.41574016
53,-5.3369346,-4.987616,0.63199854
54,-5.2281156,-4.827151,0.30647558
55,-4.961491,-4.8919873,0.2797326
56,-3.7479782,-4.63064,-0.15921833
57,-3.7214425,-4.0306063,0.42962244
58,-3.6697996,-3.6723478,0.5906219
59,-3.6474912,-3.0527618,0.7332107
60,-3.1307986,-3.0118032,0.813406
61,-1.8105233,-0.5852825,1.0904316
62,-1.5557841,0.18170051,1.623819
63,-1.5539256,0.417713,1.3349285
64,-1.4914595,1.1127617,1.0611576
65,-1.9988053,0.98304796,0.20302695
66,-1.7586768,0.97454834,0.15505084
67,-1.57856,0.66809106,0.3806786
68,-1.6182858,0.6077393,0.99395
69,-1.5710226,0.36330795,1.6550308
70,-1.1497276,0.5072144,2.3386836
71,-0.7454113,0.47040653,2.3191915
72,-0.7415046,0.61480355,2.1994967
73,-0.72254866,0.6487947,2.2176194
74,-1.0315981,1.2360976,1.8700951
75,-0.59964925,0.9162992,1.9220188
76,-0.54820544,0.9953173,1.8684582
77,0.61917454,1.9027772,1.8500172
78,0.9635873,1.4934919,1.951813
79,1.2850909,1.2998077,1.7763183
80,1.3910637,1.7231221,1.8708713
81,1.6375278,1.6470585,1.7140375
82,1.9554995,1.5851798,1.2748642
83,2.4585965,1.66906,1.7458215
84,2.8005533,1.2848417,0.47434363
85,2.556967,1.3862531,0.10906773
86,2.2720108,1.4942228,-0.36340266
87,2.4083588,1.3741288,-0.47723728
88,1.7377943,1.6800009,-0.39101085
89,1.3344045,0.8790375,-0.38181466
90,1.0224885,-0.06722463,0.14168864
91,0.30810338,-0.2344966,0.41281012
92,0.26142502,-0.1503129,0.21406601
93,0.47808135,-0.5483515,0.12714058
94,0.5029017,-0.532941,0.016468504
95,0.6838573,-0.25961694,-0.05857511
96,0.6756355,-0.38722336,-0.2506441
97,1.1286519,-0.44228056,-0.24528077
98,1.2833028,-0.11409452,-0.12254807
99,1.3398917,0.004071578,-0.15249455
100,1.1350017,-0.3700017,0.59626895
101,0.95097643,-0.4226569,0.6896222
102,0.75943094,-0.6910232,0.4019608
103,0.92938143,-0.5680312,0.2720944
104,0.6837204,-0.5025678,0.26766196
105,0.74563116,-0.5318805,0.40360826
106,0.7645959,-0.21153651,0.58010226
